created_at,default_profile,default_profile_image,description,favourites_count,followers_count,friends_count,geo_enabled,id,lang,location,profile_background_image_url,profile_image_url,screen_name,statuses_count,verified,tweet_ids,account_type
Wed Mar 23 11:40:17 +0000 2011,True,False,"working, running, fishing, music",2148,6,12,False,270861589,en,Midwest,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1738216258/image_normal.jpg,millerkills,2962,False,270861589,bot
Sun Sep 08 16:37:46 +0000 2013,True,False,"Catholic, Mom, Wife, Born NY Live ATL ❤ Flowers, Beach
❤ Family, Animals
❤Being a MOM!!
#churches 
#Cancer Survivor
#Trump2020
#MAGA
#ProLife
#Art",16843,1716,2466,False,1831466064,en,Atlanta Georgia,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/378800000445045805/908c6df644457f11c965b819cedf290e_normal.jpeg,gwenpersichetti,7993,False,1831466064,human
Tue Jun 11 21:19:21 +0000 2013,False,False,ooOooOohhh she thinks I’m cute she wanna have sex,9880,2010,684,True,1506843600,fr,,http://abs.twimg.com/images/themes/theme7/bg.gif,http://pbs.twimg.com/profile_images/1127632012540563457/Bf12BjmC_normal.jpg,5KSOSS,64568,False,1506843600,human
Fri Jun 29 10:23:14 +0000 2012,False,False,,2419,220,0,True,621780088,en,EgypT,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/622566035372285956/qGsX7J3g_normal.jpg,SamaRGalil,3919,False,621780088,bot
Sun Feb 28 04:25:10 +0000 2016,True,False,"Love People, Love Christ, Love my Pomeranian.",31688,404,313,True,703798067586338816,en,"Florida, USA",,http://pbs.twimg.com/profile_images/703917760447975426/saXC6Ynv_normal.jpg,PattyRodman1,24867,False,703798067586338816,human
Sun Apr 05 13:54:55 +0000 2009,False,False,One day this name is going to be in lights.,1683,109,320,False,28990466,en,Blighty.,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/527023153/boobs_normal.jpg,mapleransom,2951,False,28990466,human
Sat Dec 26 03:16:24 +0000 2009,False,False,まさよです。配送会社の人事総務のヒトから人材派遣会社の安全衛生のヒトになりました。とりあえず、フォローさせていただいてます。失礼がありましたら優しく教えて下さい。,3824,161,580,True,99411374,ja,東京都杉並区,http://abs.twimg.com/images/themes/theme12/bg.gif,http://pbs.twimg.com/profile_images/607185272/PA0_0141_normal.JPG,ma343ma,6026,False,99411374,bot
Wed Jul 20 20:05:33 +0000 2016,True,False,Big new music fanatic... love too much and then laugh too short. I really love my nation as well as my family members,1239,3,0,False,755856188776943617,ru,New Orleans,,http://pbs.twimg.com/profile_images/756981412415344644/nYzLTCe__normal.jpg,IulijMatveev,2962,False,755856188776943617,bot
Sat Jan 12 05:56:42 +0000 2013,True,False,,2490,22,43,False,1081988005,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/3097568119/26d9bda88ca0d0e10fabc878e6cc9344_normal.jpeg,DevilzFX,3417,False,1081988005,bot
Sun May 31 16:51:58 +0000 2015,True,False,,2351,4,14,False,3231843218,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/605054366123360256/7nOVMh-r_normal.jpg,respinoza1662,3141,False,3231843218,bot
Sun Oct 06 23:42:14 +0000 2013,True,False,,2068,49,226,False,1942356913,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/378800000560101246/3952a26fddbac4f4f7ec66338136743d_normal.jpeg,marionsstewart,4191,False,1942356913,human
Sun Oct 11 18:47:17 +0000 2009,True,False,,609,102,430,True,81658042,pt,Gravatá /PE,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/2641723079/4238d80ca91afe98ac4b02ce5366023a_normal.png,digitallmusic,698,False,81658042,human
Thu Nov 22 15:51:01 +0000 2012,True,False,,1218,71,321,False,964482600,tr,ANKARA,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/726328321663983616/1N8SSYKp_normal.jpg,ca_88888,2464,False,964482600,human
Sun Feb 08 06:30:49 +0000 2015,True,False,"young photographer, traveling across the world and creating art on the way",43522,577,440,True,3024502371,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1109521186344574976/hWPCE9C4_normal.jpg,spelasphotos,20583,False,3024502371,human
Thu May 10 19:18:24 +0000 2012,False,False,Groovy '19,2770,78,0,True,576577728,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/628298695369486336/WszQdx2W_normal.jpg,chazhaley7,4936,False,576577728,bot
Wed Jan 04 10:10:16 +0000 2012,False,False,,1711,19,81,True,454746233,zh-CN,,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/2494798620/78ucndlv5dr8hcmjy6f9_normal.jpeg,ciic_MXX,2181,False,454746233,bot
Fri Jan 13 03:03:27 +0000 2017,True,False,,5537,198,151,False,819741619905654784,en,,,http://pbs.twimg.com/profile_images/1112948907896705024/UokM8TRq_normal.jpg,maaritzamiranda,993,False,819741619905654784,human
Wed Jun 02 21:13:57 +0000 2010,False,False,somewhere between an OG vampire && a hogwarts grad,3353,135,0,True,151197830,en,stay beautiful && blessed,http://abs.twimg.com/images/themes/theme4/bg.gif,http://pbs.twimg.com/profile_images/824477055467220992/lulMgCA__normal.jpg,blU3SPiCE,5832,False,151197830,bot
Fri Jun 16 20:31:00 +0000 2017,True,False,,64,0,0,False,875812978523811841,en,,,http://pbs.twimg.com/profile_images/875815297411952640/c4q9HnTD_normal.jpg,tofblglxwdfw151,378,False,875812978523811841,bot
Fri Dec 31 05:48:26 +0000 2010,True,False,,649,18,0,False,232458864,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/2155042313/image_normal.jpg,Kristindekeyser,1047,False,232458864,bot
Wed Dec 30 05:01:58 +0000 2015,True,False,,2168,12,80,False,4676381672,en,,,http://pbs.twimg.com/profile_images/682065723624042497/JzW5o8OL_normal.jpg,AzureBell3,3034,False,4676381672,bot
Sat Jan 23 12:01:30 +0000 2010,False,False,"Truck Driver, former soldier, I love my kids, my friends and my football. A total cliche",955,22,29,False,107694790,en,"Shefford, Bedfordshire",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/650014691/face2_normal.jpg,pjcullen67,1393,False,107694790,bot
Sun Sep 14 02:32:51 +0000 2014,False,False,,4293,93,763,True,2769583169,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1128664287029932032/03kWM8pm_normal.jpg,Bluebarryberry,3445,False,2769583169,human
Tue Apr 21 02:00:13 +0000 2009,True,False,,1049,17,176,True,33766295,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/378800000835124787/ba0520925c7be8a558b42ce6c1de3e38_normal.jpeg,Latina4120,1477,False,33766295,bot
Tue Oct 27 07:51:44 +0000 2009,False,False,,2361,66,0,False,85521291,en,bristol sea mills,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/859174969665880064/taFh_oPp_normal.jpg,ellisbs9,3325,False,85521291,bot
Sun Oct 16 07:03:59 +0000 2011,True,False,I'm funny sometimes 😘😍😘😍,3772,211,0,True,391873966,en,troup tx,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/829871987703037954/8tgXZhQV_normal.jpg,Lackey5399,6159,False,391873966,bot
Mon Aug 07 11:08:39 +0000 2017,True,False,,425,0,0,False,894515628136173569,en,,,http://pbs.twimg.com/profile_images/894522384849522689/FXt2xckO_normal.jpg,adinacarter744,886,False,894515628136173569,human
Mon Jun 29 16:54:15 +0000 2009,False,False,"FlyNationEnt™
Rokin Entertainment",2180,508,443,False,52113259,en,"Kingston, Jamaica",http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/1100469915688058881/knP7_kw8_normal.png,DiMenace_,12058,False,52113259,bot
Wed Nov 19 01:53:26 +0000 2008,True,False,,1423,6,6,False,17477290,en,Beijing,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/109364220/PICT0020_normal.JPG,cheryl006,2055,False,17477290,bot
Thu Apr 29 13:07:16 +0000 2010,False,False,"Escorpiana ♏
T U R I S M Ó L O G A! 🌎🌍🌏
T.C 💁✈
Amante a las FOTOGRAFÍAS 📷
✝ Happiness and Love 🌅🌊
🇨🇴Colombia-Venezuela🇻",1935,280,631,False,138402876,es,,http://abs.twimg.com/images/themes/theme4/bg.gif,http://pbs.twimg.com/profile_images/872220344282746880/WPYae7Ow_normal.jpg,AngelicaMunive,5212,False,138402876,bot
Tue Nov 26 12:09:09 +0000 2013,True,False,one,1124,2,20,False,2215616887,zh-cn,china,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/496860492070014977/tLIILNNo_normal.jpeg,wanghao34376676,1696,False,2215616887,bot
Thu Apr 09 22:17:39 +0000 2009,True,False,fuck it,2155,20,0,True,30082193,en,north conway,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/2335346537/image_normal.jpg,brent540,3185,False,30082193,bot
Sat Jun 30 19:32:46 +0000 2012,True,False,,146,2,0,False,623076908,tr,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/430007534146306048/H6-aPSLv_normal.jpeg,sedabakray,187,False,623076908,bot
Wed Aug 25 19:33:37 +0000 2010,False,False,#teamfollowback #teamball #teamiPhone #TRP #teamtaurus ♉#TeamBenFranklin cuz I'm 100 #teamjordan INSTAGRAM- chops42087 Snapchat: chops42087,64,1010,1679,True,182939701,en,naptown!!,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1095345358610333696/5L2ynDs3_normal.jpg,chops42087,30482,False,182939701,human
Tue Jun 02 13:07:44 +0000 2015,True,False,Chapter 40.,1361,175,160,False,3233474718,en,"Michigan, USA",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/839967939096940544/8-Dl_qp6_normal.jpg,ChivetteMI,1074,False,3233474718,human
Thu Nov 12 16:07:59 +0000 2015,True,False,Money Isn't Everything but everything requires money....Crypto is my life,485,53,188,False,4172377529,en,India,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/914495137601822720/z7NS8RTt_normal.jpg,Farhanmusa8,236,False,4172377529,human
Tue Dec 02 02:45:42 +0000 2014,True,False,,7380,244,250,True,2916143197,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1127473941008674816/rTE8eUBY_normal.jpg,maxwelldr,5058,False,2916143197,human
